result_id,run_id,dataset_id,metric,scenario,split,unit,value,uncertainty,validation_status,result_path,superseded_by,limitations
m1-A-gas-cusum-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,A gas cusum 3s,held_out_pilot_repeated_scoring,events,2,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-multi-detected,m1-uci309-20260924-v2,UCI309,detected,A ambient multi 3s,held_out_pilot_repeated_scoring,files/60,19,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-multi-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,A ambient multi 3s,held_out_pilot_repeated_scoring,files/60,7,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-multi-false_files,m1-uci309-20260924-v2,UCI309,false_files,A ambient multi 3s,held_out_pilot_repeated_scoring,files/60,1,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-multi-delay_median_detected_s,m1-uci309-20260924-v2,UCI309,delay_median_detected_s,A ambient multi 3s,held_out_pilot_repeated_scoring,s,80.0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-multi-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,A ambient multi 3s,held_out_pilot_repeated_scoring,events,1,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-ewma-detected,m1-uci309-20260924-v2,UCI309,detected,A ambient ewma 3s,held_out_pilot_repeated_scoring,files/60,16,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-ewma-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,A ambient ewma 3s,held_out_pilot_repeated_scoring,files/60,3,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-ewma-false_files,m1-uci309-20260924-v2,UCI309,false_files,A ambient ewma 3s,held_out_pilot_repeated_scoring,files/60,0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-ewma-delay_median_detected_s,m1-uci309-20260924-v2,UCI309,delay_median_detected_s,A ambient ewma 3s,held_out_pilot_repeated_scoring,s,105.0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-ewma-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,A ambient ewma 3s,held_out_pilot_repeated_scoring,events,1,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-cusum-detected,m1-uci309-20260924-v2,UCI309,detected,A ambient cusum 3s,held_out_pilot_repeated_scoring,files/60,43,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-cusum-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,A ambient cusum 3s,held_out_pilot_repeated_scoring,files/60,17,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-cusum-false_files,m1-uci309-20260924-v2,UCI309,false_files,A ambient cusum 3s,held_out_pilot_repeated_scoring,files/60,1,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-cusum-delay_median_detected_s,m1-uci309-20260924-v2,UCI309,delay_median_detected_s,A ambient cusum 3s,held_out_pilot_repeated_scoring,s,73.0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-ambient-cusum-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,A ambient cusum 3s,held_out_pilot_repeated_scoring,events,0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-single-detected,m1-uci309-20260924-v2,UCI309,detected,B gas single 3s,held_out_pilot_repeated_scoring,files/60,56,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-single-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,B gas single 3s,held_out_pilot_repeated_scoring,files/60,54,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-single-false_files,m1-uci309-20260924-v2,UCI309,false_files,B gas single 3s,held_out_pilot_repeated_scoring,files/60,0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-single-delay_median_detected_s,m1-uci309-20260924-v2,UCI309,delay_median_detected_s,B gas single 3s,held_out_pilot_repeated_scoring,s,30.0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-single-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,B gas single 3s,held_out_pilot_repeated_scoring,events,0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-multi-detected,m1-uci309-20260924-v2,UCI309,detected,B gas multi 3s,held_out_pilot_repeated_scoring,files/60,48,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-multi-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,B gas multi 3s,held_out_pilot_repeated_scoring,files/60,46,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-multi-false_files,m1-uci309-20260924-v2,UCI309,false_files,B gas multi 3s,held_out_pilot_repeated_scoring,files/60,2,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-multi-delay_median_detected_s,m1-uci309-20260924-v2,UCI309,delay_median_detected_s,B gas multi 3s,held_out_pilot_repeated_scoring,s,33.0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-multi-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,B gas multi 3s,held_out_pilot_repeated_scoring,events,0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-ewma-detected,m1-uci309-20260924-v2,UCI309,detected,B gas ewma 3s,held_out_pilot_repeated_scoring,files/60,48,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-ewma-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,B gas ewma 3s,held_out_pilot_repeated_scoring,files/60,47,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-ewma-false_files,m1-uci309-20260924-v2,UCI309,false_files,B gas ewma 3s,held_out_pilot_repeated_scoring,files/60,2,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-ewma-delay_median_detected_s,m1-uci309-20260924-v2,UCI309,delay_median_detected_s,B gas ewma 3s,held_out_pilot_repeated_scoring,s,34.5,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-ewma-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,B gas ewma 3s,held_out_pilot_repeated_scoring,events,0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-cusum-detected,m1-uci309-20260924-v2,UCI309,detected,B gas cusum 3s,held_out_pilot_repeated_scoring,files/60,49,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-cusum-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,B gas cusum 3s,held_out_pilot_repeated_scoring,files/60,45,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-cusum-false_files,m1-uci309-20260924-v2,UCI309,false_files,B gas cusum 3s,held_out_pilot_repeated_scoring,files/60,5,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-cusum-delay_median_detected_s,m1-uci309-20260924-v2,UCI309,delay_median_detected_s,B gas cusum 3s,held_out_pilot_repeated_scoring,s,46.0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-B-gas-cusum-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,B gas cusum 3s,held_out_pilot_repeated_scoring,events,0,30 configs x 2 test repeats; no CI,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/summary.csv,,Fixed onset; short pre-release only; laboratory; same holdout rescored after boundary correction
m1-A-multi-duration1-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,A gas multi duration 1s without retuning,exploratory_sensitivity,files/60,57,no CI; same 60 trial files,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/duration_sensitivity.csv,,Sensitivity on previously seen holdout; not threshold selection
m1-A-multi-duration1-false_files,m1-uci309-20260924-v2,UCI309,false_files,A gas multi duration 1s without retuning,exploratory_sensitivity,files/60,1,no CI; same 60 trial files,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/duration_sensitivity.csv,,Sensitivity on previously seen holdout; not threshold selection
m1-A-multi-duration1-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,A gas multi duration 1s without retuning,exploratory_sensitivity,events,0,no CI; same 60 trial files,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/duration_sensitivity.csv,,Sensitivity on previously seen holdout; not threshold selection
m1-A-multi-duration3-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,A gas multi duration 3s without retuning,exploratory_sensitivity,files/60,57,no CI; same 60 trial files,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/duration_sensitivity.csv,,Sensitivity on previously seen holdout; not threshold selection
m1-A-multi-duration3-false_files,m1-uci309-20260924-v2,UCI309,false_files,A gas multi duration 3s without retuning,exploratory_sensitivity,files/60,1,no CI; same 60 trial files,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/duration_sensitivity.csv,,Sensitivity on previously seen holdout; not threshold selection
m1-A-multi-duration3-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,A gas multi duration 3s without retuning,exploratory_sensitivity,events,0,no CI; same 60 trial files,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/duration_sensitivity.csv,,Sensitivity on previously seen holdout; not threshold selection
m1-A-multi-duration5-detected_within_60_s,m1-uci309-20260924-v2,UCI309,detected_within_60_s,A gas multi duration 5s without retuning,exploratory_sensitivity,files/60,57,no CI; same 60 trial files,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/duration_sensitivity.csv,,Sensitivity on previously seen holdout; not threshold selection
m1-A-multi-duration5-false_files,m1-uci309-20260924-v2,UCI309,false_files,A gas multi duration 5s without retuning,exploratory_sensitivity,files/60,0,no CI; same 60 trial files,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/duration_sensitivity.csv,,Sensitivity on previously seen holdout; not threshold selection
m1-A-multi-duration5-pre_release_seeded_events,m1-uci309-20260924-v2,UCI309,pre_release_seeded_events,A gas multi duration 5s without retuning,exploratory_sensitivity,events,1,no CI; same 60 trial files,exploratory_pilot_repeated_holdout_after_scoring_fix,results/m1_uci309/duration_sensitivity.csv,,Sensitivity on previously seen holdout; not threshold selection
uci487-diagnostic-same_co_positions_min,uci487-protocol-diagnostic-20260924-01,UCI487,same_co_positions_min,13-day fixed-program chamber diagnostic,diagnostic_all_days,slots/day,100,descriptive; no inference,diagnostic_only_no_model,results/uci487_protocol_diagnostic/summary.json,,"All days compared with day1, settled segment medians; not field risk or out-of-sample model performance"
uci487-diagnostic-co_schedule_max_difference,uci487-protocol-diagnostic-20260924-01,UCI487,co_schedule_max_difference,13-day fixed-program chamber diagnostic,diagnostic_all_days,ppm,0.0,descriptive; no inference,diagnostic_only_no_model,results/uci487_protocol_diagnostic/summary.json,,"All days compared with day1, settled segment medians; not field risk or out-of-sample model performance"
uci487-diagnostic-rh_day_pair_corr_min,uci487-protocol-diagnostic-20260924-01,UCI487,rh_day_pair_corr_min,13-day fixed-program chamber diagnostic,diagnostic_all_days,Pearson r,0.8944684022078501,descriptive; no inference,diagnostic_only_no_model,results/uci487_protocol_diagnostic/summary.json,,"78 day pairs, settled segment humidity medians; not field risk or out-of-sample model performance"
uci487-diagnostic-rh_day_pair_corr_max,uci487-protocol-diagnostic-20260924-01,UCI487,rh_day_pair_corr_max,13-day fixed-program chamber diagnostic,diagnostic_all_days,Pearson r,0.9996123088645061,descriptive; no inference,diagnostic_only_no_model,results/uci487_protocol_diagnostic/summary.json,,"78 day pairs, settled segment humidity medians; not field risk or out-of-sample model performance"
uci487-diagnostic-zero_co_r1_low_min,uci487-protocol-diagnostic-20260924-01,UCI487,zero_co_r1_low_min,13-day fixed-program chamber diagnostic,diagnostic_all_days,MOhm,2.7384999999999997,descriptive; no inference,diagnostic_only_no_model,results/uci487_protocol_diagnostic/summary.json,,Ten nominal zero CO segments per day; not field risk or out-of-sample model performance
uci487-diagnostic-zero_co_r1_low_max,uci487-protocol-diagnostic-20260924-01,UCI487,zero_co_r1_low_max,13-day fixed-program chamber diagnostic,diagnostic_all_days,MOhm,8.451450000000001,descriptive; no inference,diagnostic_only_no_model,results/uci487_protocol_diagnostic/summary.json,,Ten nominal zero CO segments per day; not field risk or out-of-sample model performance
uci487-diagnostic-days,uci487-protocol-diagnostic-20260924-01,UCI487,days,13-day fixed-program chamber diagnostic,diagnostic_all_days,days,13,descriptive; no inference,diagnostic_only_no_model,results/uci487_protocol_diagnostic/summary.json,,Distinct day files; not field risk or out-of-sample model performance
uci487-diagnostic-segments,uci487-protocol-diagnostic-20260924-01,UCI487,segments,13-day fixed-program chamber diagnostic,diagnostic_all_days,day x segment,1300,descriptive; no inference,diagnostic_only_no_model,results/uci487_protocol_diagnostic/summary.json,,Not independent time points; not field risk or out-of-sample model performance
487-v3-constant-mae_ppm,uci487-v3-20260925-01,UCI487,mae_ppm,constant_train_median,held_out_day_and_program_position,ppm,5.556,3 test days x 20 unique positions; no CI,completed_lab_calibration_v3_holdout_once,results/uci487_v3/test_summary.csv,,13-day identical CO sequence; no new levels/device/field/online estimate
487-v3-constant-rmse_ppm,uci487-v3-20260925-01,UCI487,rmse_ppm,constant_train_median,held_out_day_and_program_position,ppm,6.383776311870585,3 test days x 20 unique positions; no CI,completed_lab_calibration_v3_holdout_once,results/uci487_v3/test_summary.csv,,13-day identical CO sequence; no new levels/device/field/online estimate
487-v3-ambient-mae_ppm,uci487-v3-20260925-01,UCI487,mae_ppm,ambient_only,held_out_day_and_program_position,ppm,5.4981437647843245,3 test days x 20 unique positions; no CI,completed_lab_calibration_v3_holdout_once,results/uci487_v3/test_summary.csv,,13-day identical CO sequence; no new levels/device/field/online estimate
487-v3-ambient-rmse_ppm,uci487-v3-20260925-01,UCI487,rmse_ppm,ambient_only,held_out_day_and_program_position,ppm,6.350626509251232,3 test days x 20 unique positions; no CI,completed_lab_calibration_v3_holdout_once,results/uci487_v3/test_summary.csv,,13-day identical CO sequence; no new levels/device/field/online estimate
487-v3-r1-mae_ppm,uci487-v3-20260925-01,UCI487,mae_ppm,r1_blind,held_out_day_and_program_position,ppm,5.5733507615900795,3 test days x 20 unique positions; no CI,completed_lab_calibration_v3_holdout_once,results/uci487_v3/test_summary.csv,,13-day identical CO sequence; no new levels/device/field/online estimate
487-v3-r1-rmse_ppm,uci487-v3-20260925-01,UCI487,rmse_ppm,r1_blind,held_out_day_and_program_position,ppm,6.371408698637118,3 test days x 20 unique positions; no CI,completed_lab_calibration_v3_holdout_once,results/uci487_v3/test_summary.csv,,13-day identical CO sequence; no new levels/device/field/online estimate
487-v3-blind14-mae_ppm,uci487-v3-20260925-01,UCI487,mae_ppm,all14_blind,held_out_day_and_program_position,ppm,0.7748052696159743,3 test days x 20 unique positions; no CI,completed_lab_calibration_v3_holdout_once,results/uci487_v3/test_summary.csv,,13-day identical CO sequence; no new levels/device/field/online estimate
487-v3-blind14-rmse_ppm,uci487-v3-20260925-01,UCI487,rmse_ppm,all14_blind,held_out_day_and_program_position,ppm,1.0466549170253052,3 test days x 20 unique positions; no CI,completed_lab_calibration_v3_holdout_once,results/uci487_v3/test_summary.csv,,13-day identical CO sequence; no new levels/device/field/online estimate
487-v3-phase14-mae_ppm,uci487-v3-20260925-01,UCI487,mae_ppm,all14_phase,held_out_day_and_program_position,ppm,0.46261704941440185,3 test days x 20 unique positions; no CI,completed_lab_calibration_v3_holdout_once,results/uci487_v3/test_summary.csv,,13-day identical CO sequence; no new levels/device/field/online estimate
487-v3-phase14-rmse_ppm,uci487-v3-20260925-01,UCI487,rmse_ppm,all14_phase,held_out_day_and_program_position,ppm,0.6860502131730323,3 test days x 20 unique positions; no CI,completed_lab_calibration_v3_holdout_once,results/uci487_v3/test_summary.csv,,13-day identical CO sequence; no new levels/device/field/online estimate
487-v3-phase14-ambient-mae_ppm,uci487-v3-20260925-01,UCI487,mae_ppm,all14_phase_ambient,held_out_day_and_program_position,ppm,0.5303557315991865,3 test days x 20 unique positions; no CI,completed_lab_calibration_v3_holdout_once,results/uci487_v3/test_summary.csv,,13-day identical CO sequence; no new levels/device/field/online estimate
487-v3-phase14-ambient-rmse_ppm,uci487-v3-20260925-01,UCI487,rmse_ppm,all14_phase_ambient,held_out_day_and_program_position,ppm,0.7355235089152435,3 test days x 20 unique positions; no CI,completed_lab_calibration_v3_holdout_once,results/uci487_v3/test_summary.csv,,13-day identical CO sequence; no new levels/device/field/online estimate
